time,open,high,low,close,tick_volume,spread,real_volume,EMA_20,EMA_50,RSI,MACD,MACD_signal,ATR
2026-03-16 06:00:00,5019.14,5026.05,5019.04,5024.33,2786,4,0,5013.0616315957695,5019.345892420821,48.49754792688367,-1.1202627303191548,-3.857084453200375,13.684285714285645
2026-03-16 06:15:00,5024.31,5026.29,5020.77,5021.55,2433,4,0,5013.870047634267,5019.432328012161,48.15405046480739,-0.36004293845508073,-3.157676150251316,13.148571428571293
2026-03-16 06:30:00,5021.55,5024.81,5014.61,5016.98,2752,4,0,5014.16623357386,5019.336158286194,69.45473119652634,-0.12488449253942235,-2.5511178187089376,11.009999999999959
2026-03-16 06:45:00,5016.98,5017.05,5012.33,5012.81,1958,4,0,5014.037068471588,5019.080230510265,65.34665679743433,-0.2718699324341287,-2.095268241453976,9.802142857142892
2026-03-16 07:00:00,5012.81,5015.77,5011.15,5012.22,2928,4,0,5013.864014331437,5018.811201862804,56.300472344964604,-0.43099675933262915,-1.7624139450297065,8.5842857142858
